Date,Price,High,Low,Close**,Volume,Market Cap
17-12-2015,454.78,457.86,448.86,456.08,"47,978,400","6,807,849,984"
18-12-2015,455.85,465.18,454.94,463.62,"60,220,100","6,825,639,936"
19-12-2015,463.55,465.58,456.77,462.32,"47,892,700","6,942,949,888"
20-12-2015,462.23,462.64,434.34,442.68,"75,409,400","6,925,029,888"
21-12-2015,442.84,444.73,427.31,438.64,"77,639,696","6,636,279,808"
22-12-2015,437.44,443.69,435.52,436.57,"50,840,400","6,556,959,744"
23-12-2015,436.72,444.53,436.62,442.4,"47,161,400","6,547,850,240"
24-12-2015,443.09,458.46,443.08,454.98,"57,157,200","6,645,120,000"
25-12-2015,454.86,458.3,452.08,455.65,"39,078,500","6,823,119,872"
26-12-2015,455.76,457.49,405.76,417.27,"116,166,000","6,838,479,872"
27-12-2015,416.51,424.01,408.88,422.82,"53,591,200","6,251,440,128"
28-12-2015,423.34,429.77,418.48,422.28,"49,638,600","6,356,100,096"
29-12-2015,422.1,432.98,420.63,432.98,"51,596,500","6,339,010,048"
30-12-2015,433.3,434.39,422.08,426.62,"46,889,400","6,508,959,744"
31-12-2015,425.88,432.92,418.73,430.57,"45,996,600","6,399,190,016"
1-1-2016,430.72,436.25,427.52,434.33,"36,278,900","6,473,529,856"
2-1-2016,434.62,436.06,431.87,433.44,"30,096,600","6,533,629,952"
3-1-2016,433.58,433.74,424.71,430.01,"39,633,800","6,519,499,776"
4-1-2016,430.06,434.52,429.08,433.09,"38,477,500","6,468,179,968"
5-1-2016,433.07,434.18,429.68,431.96,"34,522,600","6,515,380,224"
6-1-2016,431.86,431.86,426.34,429.11,"34,042,500","6,498,829,824"
7-1-2016,430.01,458.77,429.08,458.05,"87,562,200","6,472,580,096"
8-1-2016,457.54,462.93,447.94,453.23,"56,993,000","6,888,600,064"
9-1-2016,453.38,454.64,446.89,447.61,"32,278,000","6,828,000,256"
10-1-2016,448.24,448.31,440.35,447.99,"35,995,900","6,752,209,920"
11-1-2016,448.7,450.66,443.86,448.43,"40,450,000","6,761,090,048"
